no,company,inspector,location,date,vendor,raw_content,corrective_action,is_completed,photo_before,photo_after,remarks,SDN_risk,Hanmi_risk,SDN_score,Hanmi_score
199.0,Hanmi,Rahul Mor,Module GF,30.03.2026,DSHI,Beam/heavy structure side support not provided for both side,Kindly provide side support for the structure,Yes,,,Collapse,전도/낙하/부딪힘,붕괴,1.0,1.0
200.0,Hanmi,Surender Kumar,Module 1F,30.03.2026,Hankuk,Loose materials shouldn't be out of  material lifting box body/boundaries,"Kindly secure the materials before lifting,donot lift any loose material",No,,,Dropping,전도/낙하/부딪힘,낙하,0.4572,0.4564
201.0,Hanmi,Rahul Mor,Module 2F,30.03.2026,Hankuk,Access way to the working point at height (scaffold) was not available,Kindly provide/arrange safe access to the work point,No,,,Falling,떨어짐/낙상,추락,0.4869,0.5403
202.0,Hanmi,Rahul Mor,Module 2F,30.03.2026,Hankuk,Toe guard were not installed in some area,Kindly install the toe guard at scaffold,Yes,,,Dropping,떨어짐/낙상,낙하,0.267,0.365
203.0,Hanmi,Rahul Mor,Module 2F,30.03.2026,Samho,Job specific PPE was not used by the worker,Kindly provide job specific PPE,Yes,,,Impact,전도/낙하/부딪힘,충돌,1.0,1.0
204.0,Hanmi,Rahul Mor,Module 2F,30.03.2026,Hankuk,Incomplete scaffolding/Opening area not barricade,"Kindly provide barrier & display ""No entry "" for the same at height [scaffolding]",Yes,,,Falling,떨어짐/낙상,추락,0.4856,0.4926
205.0,Hanmi,Surender Kumar,Module 2F,30.03.2026,DSHI,Painter is painting in unsafe manner at height,Kindly follow safe height work procedure,No,,,Falling,전도/낙하/부딪힘,추락,0.3989,0.3796
206.0,Hanmi,Surender Kumar,Module GF,30.03.2026,DSHI,There was not signalman & no boom lift operator was available near the boom lift but work was going on at height,Kindly assign both ASAP,Yes,,,Others,기타,기타,1.0,1.0
207.0,Hanmi,Surender Kumar,Module 1F,30.03.2026,Hankuk,Loose materials of different sizes in uneven manner going to lift unsafely,Kindly stop the lifting & secure the loose materials ASAP,Yes,,,Dropping,전도/낙하/부딪힘,낙하,0.4495,0.4587
208.0,Hanmi,Surender Kumar,Module 1F,31.03.2026,Hankuk,Improper sling adjustment  Risk of load shifting Or slipping out of the sling,Kindly follow safe lifting procedure,No,,,Dropping,전도/낙하/부딪힘,낙하,0.2947,0.3038
209.0,Hanmi,Rahul Mor,Module 1F,31.03.2026,Hankuk,Underneath area not cordoned off & personal weren't removed from lifting zone,Kindly barricade the area & donot allow any unauthorized entry in the lifting zone,No,,,Dropping,전도/낙하/부딪힘,낙하,0.2627,0.303
210.0,Hanmi,Rahul Mor,Module 1F,31.03.2026,DSHI,Step plan attendance for training in initial stage of the erection work were without any sign& training,Kindly arrange training & take the sign of the involved team after training completion,Yes,,,Others,기타,기타,1.0,1.0
211.0,Hanmi,Rahul Mor,Module 1F,31.03.2026,DSHI,Displacement of the step plan document for erection & lifting of the structure,Kindly display the job related step plan in the SOP board near the staircase area,Yes,,,Others,기타,기타,1.0,1.0
212.0,Hanmi,Rahul Mor,Module 1F,31.03.2026,DSHI,"Unsafe loose platform,rolling platform ladder without outrigger & without inspection tag",Kindly use only approved & standard platform ladder after inspection,No,,,Collapse,전도/낙하/부딪힘,붕괴,1.0,1.0
213.0,Hanmi,Rahul Mor,Module 1F,31.03.2026,DSHI,Loose materials were scattered at staircase area at height near the edge area,Kindly donot put any loose material at height near edge area,Yes,,,Dropping,전도/낙하/부딪힘,낙하,0.48,0.5222
214.0,Hanmi,Rahul Mor,Module 1F,31.03.2026,DSHI,Edge protection not available & lots of materials put just nearby area,Kindly provide edge protection & remove the loose material,Yes,,,Dropping,전도/낙하/부딪힘,낙하,0.3637,0.4284
215.0,Hanmi,Rahul Mor,Module GF,31.03.2026,DSHI,Protruding drill bit (low profile)at the ground needs to be removed,Kindly remove or provide reflective safety cone,Yes,,,Impact,전도/낙하/부딪힘,충돌,1.0,1.0
216.0,Hanmi,Rahul Mor,Pump Room,01.04.2026,RTCC,Concrete pump hose pipe was handled by directly naked hand without any guide rope,Kindly use guide rope all timeto handle the hose pipe of concrete pump,Yes,,,Impact,전도/낙하/부딪힘,충돌,1.0,1.0
217.0,Hanmi,Rahul Mor,Pump Room,01.04.2026,RTCC,"During concrete work workers were not using hand gloves,safety goggles & other PPE kit",Kindly use Job specific & mandotory PPE all the time,Yes,,,Others,기타,기타,1.0,1.0
218.0,Hanmi,Rahul Mor,Pump Room,01.04.2026,RTCC,Concrete truck was without any wheels stopper,Kindly use wheels stopper all the time for all equipment,Yes,,,Overturning,전도/낙하/부딪힘,전도,1.0,1.0
219.0,Hanmi,Rahul Mor,Pump Room,01.04.2026,RTCC,Damaged & rusted scaffolding materials used in scaffold,Kindly remove all the rusted & rejected scaffold materials,No,,,Collapse,전도/낙하/부딪힘,붕괴,1.0,1.0
220.0,Hanmi,Rahul Mor,Module GF,01.04.2026,DSHI,Equipment [Boom lift] safety inspection documentation/inspection tag not displaced,Kindly Remove previous plant inspection sticker & display updated inspection tag & related equipment plan,Yes,,,Others,기타,기타,1.0,1.0
221.0,Hanmi,Rahul Mor,Module 1F,01.04.2026,Hankuk,Unsafe opening at height,Kindly provide scaffolding railings,Yes,,,Falling,전도/낙하/부딪힘,추락,0.4309,0.4706
222.0,Hanmi,Rahul Mor,Module 1F,01.04.2026,DSHI,"welding machine body earthing wire   neither have any clamp/holder attached, nor it is connected at any point",Kindly provide earthing clamp/holder & attach the body earthing connection,Yes,,,Electric shock,감전/합선,감전,1.0,1.0
223.0,Hanmi,Surender Kumar,Module 1F,01.04.2026,Hankuk,Improper Load Balance risk of the entire bundle sliding out of the rigging,Do proper rigging & staking of scaffold pipes,No,,,Dropping,전도/낙하/부딪힘,추락,0.299,0.2996
224.0,Hanmi,Rahul Mor,Module 2F,02.04.2026,DSHI,Kindly don't put any kind of loose materials at this much height,Kindly Remove ASAP,Yes,,,Dropping,전도/낙하/부딪힘,낙하,0.4574,0.4859
225.0,Hanmi,Rahul Mor,Module 2F,02.04.2026,Hankuk,"This area have no barrier at height, moreover worker standing in unsafe manner",Kindly provide safe working platform & barrier,Yes,,,Falling,전도/낙하/부딪힘,추락,0.4896,0.501
226.0,Hanmi,Rahul Mor,Module 2F,02.04.2026,Hankuk,Unsafe opening at height,Kindly close the unsafe opening area at height,Yes,,,Falling,전도/낙하/부딪힘,추락,0.4309,0.4706
227.0,Hanmi,Rahul Mor,Module 2F,02.04.2026,Hankuk,Sharp edges rebars without insulation & reflective at face height,Kindly provide proper insulation & reflective for all rebars,Yes,,,Impact,전도/낙하/부딪힘,충돌,1.0,1.0
228.0,Hanmi,Rahul Mor,Module 1F,02.04.2026,DSHI,Stell structure without side support,Kindly provide side support,Yes,,,Collapse,전도/낙하/부딪힘,붕괴,1.0,1.0
229.0,Hanmi,Rahul Mor,Module 1F,02.04.2026,DSHI,"NEAR MISS The improper use of manual handling equipment [Hydraulic pallet trolley] and the shifting of Unsecured load [ steel plates -03] by single person, also talking on mobile & handling the trolley with single hand",Kindly secure the load always before shifting & follow the safe procedure Retrain the team about safe work procedure,Yes,,,Impact,전도/낙하/부딪힘,충돌,1.0,1.0
230.0,Hanmi,Rahul Mor,Module 2F,02.04.2026,Hankuk,HIGH RISK High unsafe condition with naked feet near electric cable & rotating parts of concrete power trowel machine,Kindly don't allow to restart this work without safe arrangements,Yes,,,Electric shock,감전/합선,감전,1.0,1.0
231.0,Hanmi,Surender Kumar,Module 1F,03.04.2026,DSHI,Damaged PPE safety shoes,Kindly replace the damged PPE,Yes,,,Others,기타,기타,1.0,1.0
232.0,Hanmi,Rahul Mor,Module 2F,03.04.2026,Hankuk,Unsafe opening at height ( the gap in platforms at height),Kindly provide any barrier [temporarily] for this area at height,Yes,,,Falling,떨어짐/낙상,추락,0.4274,0.4966
233.0,Hanmi,Rahul Mor,Module 2F,03.04.2026,Daemyoung,Unsafe low profile bolt with trip& fall hazards,Kindly provide safety caps/high-visibility cones/ reflective caution tape for these anchor bolts [ low profile],No,,,Entrapment,끼임,협착,1.0,1.0
234.0,Hanmi,Rahul Mor,Module 2F,03.04.2026,Hankuk,2-3 board exposed single insulated cables are there,[use pvc blank plate to cover the exposed cable],No,,,Electric shock,감전/합선,감전,1.0,1.0
235.0,Hanmi,Rahul Mor,Module 2F,03.04.2026,Hankuk,Electrical one extension board RCCB upper cover is damaged,Kindly provide upper cover,Yes,,,Electric shock,감전/합선,감전,1.0,1.0
236.0,Hanmi,Rahul Mor,Module 2F,03.04.2026,Hankuk,Unsafe opening at height,Kindly provide barrier for this area,Yes,,,Falling,전도/낙하/부딪힘,추락,0.4309,0.4706
237.0,Hanmi,Surender Kumar,Module 1F,03.04.2026,DSHI,Damaged condition fire blankets used during hot work,Kindly donot use damaged fire blankets,Yes,,,Fire,화재/탄화,화재,1.0,1.0
238.0,Hanmi,Rahul Mor,Module 2F,03.04.2026,Hankuk,Unsafe condition Exposed rotating sharp blades due to the equipment[Power trowel] being left in an overturned/reverse position. Moreover workers standing just nearby,Kindly reposition the equipment to safe area,Yes,,,Impact,전도/낙하/부딪힘,충돌,1.0,1.0
239.0,Hanmi,Rahul Mor,Module 2F,03.04.2026,Hankuk,"Ahead of temporary barricade/rope & ""NO ENTRY"" signage, workers entered ahead area  without safety harness, also illumination level is not proper there.",Kindly don't allow because there hard barricade is pending at one side.,Yes,,,Falling,떨어짐/낙상,추락,0.3692,0.4389
240.0,Hanmi,Rahul Mor,Module 1F,04.04.2026,DSHI,Loose fire extinghisher near edge area at height,Loose fire extinguisher to be Removed from near edge area,Yes,,,Dropping,전도/낙하/부딪힘,낙하,0.332,0.4581
241.0,Hanmi,Rahul Mor,Module 1F,04.04.2026,DSHI,"Underneath area of lifting zone was not cordoned off , unauthorized personnel were crossing under the erection point of beam",Kindly barricade the area & donot allow to cross under,No,,,Impact,전도/낙하/부딪힘,충돌,1.0,1.0
242.0,Hanmi,Rahul Mor,Module 2F,04.04.2026,Hankuk,Upside & near side multiple work are going on & finishing team resting in danger zone,Don't allow to sit/rest in line of fire,Yes,,,Dropping,전도/낙하/부딪힘,낙하,0.3057,0.2939
243.0,Hanmi,Rahul Mor,Module 2F,04.04.2026,DSHI,Repeated safety voilation Improper Anchorage ConnectorUsing a knotted yellow rope as an intermediary connector is very risky Kindly Use a Certified Anchorage Connector[ D shakle],Kindly use D shakle as anchor connector instead of direct rope on sharp edge,Yes,,,Falling,전도/낙하/부딪힘,추락,0.409,0.4341
244.0,Hanmi,Rahul Mor,Module 2F,04.04.2026,DSHI,Near edge area retractable fall arrestor was not used,Kindly also use secondary fall protection(retractable fall arrestor),Yes,,,Falling,전도/낙하/부딪힘,낙하,0.507,0.434
245.0,Hanmi,Rahul Mor,Module 1F,04.04.2026,DSHI,Load was in suspended position but spider crane operator was not available near the crane/at the lifting location,Kindly train the operator without completion of lifting work donot left the crane,Yes,,,Overturning,전도/낙하/부딪힘,전도,1.0,1.0
246.0,Hanmi,Rahul Mor,Module 1F,04.04.2026,Daemyoung,Water logging near PDB,kindly clean the water & block the water ingress this area,Yes,,,Electric shock,감전/합선,감전,1.0,1.0
247.0,Hanmi,Rahul Mor,Module GF,06.04.2026,DSHI,"The gas cutting torch handle is cracked and missing a securing screw,",kindly check & provide/replace the screw or gas cutting torch,Yes,,,Explosion,화재/탄화,폭발,1.0,1.0
248.0,Hanmi,Rahul Mor,Module GF,06.04.2026,DSHI,"Weight - approx 17ton-18ton Boom lift going to lift But lifting plan not prepared yet for lifting  Boom lift lifted safely   But lifting plan not prepared before , planning not proper, prepared on site just before the lifting by C&T  That's not good ,pre- planning for heavy lifting should be there from Subvendor side","Kindly pre plan the lifting & lifting plan must be submitted & authorise the permit before starting,without planninh heavy lifting should not start",No,,,Others,기타,기타,1.0,1.0
249.0,Hanmi,Rahul Mor,Module GF,06.04.2026,DSHI,"Gas cylinder is tied with single substandard [8mm] rope & going to lift , it is not safe during lifting",Kindly check &  proper secure the gas cylinder,Yes,,,Explosion,화재/탄화,폭발,1.0,1.0
250.0,Hanmi,Rahul Mor,Module 2F,06.04.2026,Hankuk,Not using ear protection & anti vibration hand gloves during use hammer machine,Kindly provide training for using ear protection & anti vibration hand gloves,No,,,Impact,전도/낙하/부딪힘,충돌,1.0,1.0
251.0,Hanmi,Surender Kumar,Module 1F,06.04.2026,Hankuk,Electrical cable was put into water logging area,Kindly remove the electric cable from water logging area,Yes,,,Electric shock,감전/합선,감전,1.0,1.0
252.0,Hanmi,Surender Kumar,Module 1F,06.04.2026,Hankuk,Lifting zone was not cordoned off & unauthorized entry not banned,Kindly barricade the area & donot allow to cross under,Yes,,,Impact,전도/낙하/부딪힘,충돌,1.0,1.0
253.0,Hanmi,Surender Kumar,Module 1F,06.04.2026,Hankuk,Unattended scaffolding without outrigger/side support Without any wheels lock Incomplete but having green tag,Kindly dismantle the scaffold or provide the side support & lock the wheels.,Yes,,,Collapse,전도/낙하/부딪힘,붕괴,1.0,1.0
254.0,Hanmi,Rahul Mor,Module 1F,06.04.2026,DSHI,Unsecured verticak gas cylinder & other cylinder without the nozzle cap,kindly secure the gas cylinder & provide the nozzle cap for all the gas cylinder,Yes,,,Explosion,화재/탄화,폭발,1.0,1.0
255.0,Hanmi,Rahul Mor,Module 2F,06.04.2026,DSHI,"Unsafe working point at height on narrow beam without any secondary fall protection , chances to imbalance",Kidly arrange the safe working platform for this much height donot allow to walk at this much height on single narrow beam,No,,,Falling,전도/낙하/부딪힘,추락,0.5243,0.5004
256.0,Hanmi,Rahul Mor,Module 2F,06.04.2026,Hankuk,"Kindly don't put any material on green net, it is not a load-bearing safety net",Kindly Remove & train your workers not to put any material on green net,Yes,,,Dropping,전도/낙하/부딪힘,낙하,0.3981,0.4153
257.0,Hanmi,Rahul Mor,Module GF,07.04.2026,DSHI,Protruding Props/Scaffolding Components in the access way to staircase,"Kindly isolate these from access, provide high visibility reflective & work in progress signage",No,,,Entrapment,끼임,협착,1.0,1.0
258.0,Hanmi,Rahul Mor,Module GF,07.04.2026,DSHI,"This is not designated gas cylinder storage area, two gas cylinder put in horizontal position with covering of tarpaulin over in non- designated area",Kindly shift to designated gas cylinders storage area in safe manner,No,,,Explosion,화재/탄화,폭발,1.0,1.0
259.0,Hanmi,Rahul Mor,Module GF,07.04.2026,Kosca,"No SOP Board at working point ,No supervision",Kindly donot start any work at site without work permit authorization,Yes,,,Others,기타,기타,1.0,1.0
260.0,Hanmi,Rahul Mor,Module 1F,07.04.2026,DSHI,1.  Mismatched steel jacks and aluminum tubes Moreover MS jack lacks a locking pin and rests on open grating without a sole board in risky position at staircase  2.  The scaffold platform is missing toeboards and adequate guardrails,Kindly check & provide or dismantle the unsafe platform,Yes,,,Collapse,전도/낙하/부딪힘,붕괴,1.0,1.0
261.0,Hanmi,Rahul Mor,Module 2F,07.04.2026,Hankuk,"Don't use wire in this manner for mid railing,missing guard railings",kindly do clamping & also provide balance top railings,Yes,,,Falling,떨어짐/낙상,추락,0.3817,0.4232
262.0,Hanmi,Rahul Mor,Module 2F,07.04.2026,Hankuk,Unsafe opening just near working point at scaffolding,Kindly close the unsafe opening,Yes,,,Dropping,떨어짐/낙상,추락,0.4412,0.4646
263.0,Hanmi,Surender Kumar,Module 1F,07.04.2026,Hankuk,"Concrete area was not barricade ,unauthorized entry was not banned",Kindly barricade the area & donot allow to cross under,Yes,,,Dropping,전도/낙하/부딪힘,낙하,0.33,0.369
264.0,Hanmi,Rahul Mor,Module 1F,07.04.2026,Daemyoung,Ladder placed in access way without any use at height access was blocked unsafely,Kindly remove the ladder ASAP,No,,,Entrapment,끼임,협착,1.0,1.0
265.0,Hanmi,Rahul Mor,Module GF,08.04.2026,Hankuk,"Incomplete step plan documents  In sub-activity no concrete work,no concrete Pump inspection, setup activities mentioned  No training attendance sheet authorization/workers training pending",Kindly check & complete the documents,No,,,Others,기타,기타,1.0,1.0
266.0,Hanmi,Rahul Mor,Module 2F,08.04.2026,DSHI,Broken rear handle [body shell]of the angle grinding machine,Kindly replsce the damaged body shell,Yes,,,Electric shock,감전/합선,감전,1.0,1.0
267.0,Hanmi,Surender Kumar,Module 1F,08.04.2026,DSHI,unstable and unsecured load being transported by  forklift near several workers.,Kindly secure the material & remove the persons nearby fork lift,Yes,,,Falling,전도/낙하/부딪힘,추락,0.4987,0.3979
268.0,Hanmi,Surender Kumar,Module 1F,08.04.2026,Hankuk,Worker  is positioned directly beneath of wooden pieces and shuttering plates during de - shuttering work,Kindly give retraining for safe de- shuttering work,Yes,,,Dropping,전도/낙하/부딪힘,낙하,0.3658,0.473
269.0,Hanmi,Rahul Mor,Module 2F,08.04.2026,Hankuk,Unsafe anchor point  at height,Kindly provide Lifeline,Yes,,,Falling,떨어짐/낙상,추락,0.4615,0.5021
270.0,Hanmi,Rahul Mor,Module 2F,08.04.2026,Hankuk,"Near edge area only single loose rope ,",kindly provide one more barrier or hard barricade,Yes,,,Falling,전도/낙하/부딪힘,추락,0.4544,0.4348
271.0,Hanmi,Rahul Mor,Module 2F,08.04.2026,Hankuk,"Lots of loose materials [ wedge pin, rebars piece] on green net which need to remove , green net also not tighten properly having gap, risk of falling objects",Kindly remove all the loose materials & donot put any loose materials on green net in the fure again,No,,,Dropping,전도/낙하/부딪힘,낙하,0.397,0.4426
272.0,Hanmi,Rahul Mor,Module 2F,08.04.2026,Hankuk,Lots of unused scaffolding materials are placed which need to be removed especially from access [workers are using the access to the working point at that area],Kindly remove all unnecessary materials from the platform & clear the access,Yes,,,Dropping,떨어짐/낙상,낙하,0.3755,0.403
273.0,Hanmi,Rahul Mor,Module 2F,08.04.2026,Hankuk,"Also give training for safe anchor of safety harness, not to make anchor in/before knots of lifeline",Kindly give retraining for safe anchorage of safety harness,Yes,,,Falling,떨어짐/낙상,추락,0.3599,0.3778
274.0,Hanmi,Surender Kumar,Module GF,08.04.2026,DSHI,No inspection tag on bow shakle,Kindly provide inspection tag gor bow shakles,Yes,,,Others,기타,기타,1.0,1.0
275.0,Hanmi,Rahul Mor,Module 1F,08.04.2026,Hankuk,Scaffolding is not completed yet that area but using for rebar shifting,"Kindly complete the Scaffolding first , don't use incomplete scaffolding",No,,,Falling,떨어짐/낙상,추락,0.4762,0.4858
276.0,Hanmi,Surender Kumar,Module 1F,08.04.2026,Hankuk,Non standar vertical &damaged coupler,Kindly replace those,Yes,,,Collapse,전도/낙하/부딪힘,붕괴,1.0,1.0
277.0,Hanmi,Rahul Mor,Module 2F,09.04.2026,Hankuk,"Lots of loose materials scattered on scaffolding access , no toe guard there & workers are working just downside area","Kindly Remove the unnecessary materials from access way of scaffold platform  Moreover kindly install te guard this area ,downside workers are there",Yes,,,Falling,떨어짐/낙상,추락,0.5702,0.5506
278.0,Hanmi,Rahul Mor,Module 2F,09.04.2026,Hankuk,Missing top railing in scaffolding at height,".Kindly provide guard railings [top railing] for the balance area ,workers are there",Yes,,,Falling,떨어짐/낙상,추락,0.5585,0.575
279.0,Hanmi,Rahul Mor,Module 2F,09.04.2026,Hankuk,Scaffold platform having gap/openings which need to close,Kindly close the gap/opening in scaffolding platform,No,,,Dropping,떨어짐/낙상,추락,0.3396,0.3643
280.0,Hanmi,Rahul Mor,Module 2F,09.04.2026,Hankuk,uneven plank levels create a trip hazard,Kindly rearrange those or provide reflective for clear visibility to avoid stumble upon.,No,,,Falling,전도/낙하/부딪힘,추락,0.4366,0.4112
281.0,Hanmi,Rahul Mor,Module 2F,09.04.2026,Hankuk,All the lifeline that area at scaffolding are without any inspection tag & also not in good condition,Kindly check & provide/replace,Yes,,,Falling,전도/낙하/부딪힘,추락,0.4402,0.4502
282.0,Hanmi,Surender Kumar,Module 2F,09.04.2026,Hankuk,Standing on scaffolding railings in unsafe manner,Kindly stop that work & give training first,Yes,,,Falling,전도/낙하/부딪힘,추락,0.4799,0.4884
283.0,Hanmi,Rahul Mor,Module 1F,09.04.2026,Hankuk,Sharp edges rebars without insulation using in materials shifting trolley,Kindly provide insulation protection  Or use standard handle instead of rebar,No,,,Impact,전도/낙하/부딪힘,충돌,1.0,1.0
284.0,Hanmi,Surender Kumar,Module 2F,09.04.2026,Hankuk,Materials scattered near edge area at height,Kindly remove all the loose materials & donot put any loose materials near edge area in the future again,Yes,,,Dropping,전도/낙하/부딪힘,낙하,0.4713,0.5222
285.0,Hanmi,Rahul Mor,Module 1F,09.04.2026,DSHI,The Korean person working at height in high risky position  1. Anchoring of Safety harness is in bolt hole[ Non - certified anchor point]  2. Hand tools lanyard not connected  3. Sitting/working on narrow column outer part,Kindly revise your SOP for height work & find  safe alternate option,No,,,Falling,떨어짐/낙상,추락,0.4275,0.4854
286.0,Hanmi,Surender Kumar,Module 2F,09.04.2026,Hankuk,Gap/opening in  scaffolding platform,Kindly close,Yes,,,Dropping,떨어짐/낙상,추락,0.4248,0.4479
287.0,Hanmi,Rahul Mor,Module 1F,10.04.2026,DSHI,Gas cylinders in lifting placed which is unsafe,"Kindly Remove gas cylinders trolley from lifting zone, shift to another safe location.",Yes,,,Explosion,화재/탄화,폭발,1.0,1.0
288.0,Hanmi,Rahul Mor,Module 1F,10.04.2026,Hankuk,"materials placed, pipe Shifting work in access way.",Kindly cordon off the pedestrian way  Kindly check & arrange safe access/pedestrian,Yes,,,Dropping,전도/낙하/부딪힘,낙하,0.3503,0.4463
289.0,Hanmi,Rahul Mor,Module 1F,10.04.2026,DSHI,Two scissor lift without any signalman at the location,Kindly check & provide,Yes,,,Others,기타,기타,1.0,1.0
290.0,Hanmi,Rahul Mor,Module 1F,10.04.2026,Hankuk,"Loose materials at platform  just above the pedestrian way ,",kindly Remove,Yes,,,Dropping,전도/낙하/부딪힘,낙하,0.4767,0.4568
291.0,Hanmi,Surender Kumar,Module 1F,10.04.2026,Hankuk,De shuttring workers do not have safety  goggles,Kindly provide ASAP,Yes,,,Impact,전도/낙하/부딪힘,충돌,1.0,1.0
292.0,Hanmi,Rahul Mor,Module 2F,10.04.2026,Hankuk,"Unsafe opening Kindly provide guard railings [No top,mid railing, no toe guard or green net ]for this area or block   till completion",Kindly check & provide,No,,,Falling,떨어짐/낙상,추락,0.3759,0.4099
293.0,Hanmi,Rahul Mor,Module 2F,10.04.2026,Hankuk,Sharp edges rebars in access way without proper insulation & reflective,Kindly provide insulation protection & reflective for each & every rebars [Sharp edges in access] many are still balance,No,,,Impact,전도/낙하/부딪힘,충돌,1.0,1.0
294.0,Hanmi,Rahul Mor,Module 2F,13.04.2026,DSHI,Two workers at height were using the same anchoring point in lifeline,"Retrain the workers to use separate anchorage points and independent lifelines for each person at this height, ensuring proper fall protection and avoiding shared anchors all the time.",Yes,,,Falling,떨어짐/낙상,추락,0.4938,0.5447
295.0,Hanmi,Rahul Mor,Module 2F,13.04.2026,Hankuk,"Safe Access not provided ,still using same unsafe access",Kindly provide safe access to the working point,yes,,,Falling,전도/낙하/부딪힘,낙하,0.3996,0.3401
296.0,Hanmi,Rahul Mor,Module 2F,13.04.2026,Hankuk,"[No guard railings],workers movement are there ",Kindly block  the opening area,yes,,,Falling,떨어짐/낙상,추락,0.4408,0.4614
297.0,Hanmi,Rahul Mor,Module 2F,13.04.2026,Hankuk,Unsafe opening at height,Kindly block ?? that area too ,Yes,,,Falling,전도/낙하/부딪힘,추락,0.4309,0.4706
298.0,Hanmi,Surender Kumar,Module 2F,13.04.2026,Hankuk,Electric cable tied with binding wire [ Sharp edges] cable can be damaged,Kindly Remove ASAP,Yes,,,Electric shock,감전/합선,감전,1.0,1.0
299.0,Hanmi,Rahul Mor,Module 1F,13.04.2026,DSHI,Welding machine in use without the body earthing/grounding cable properly connected.,Kindly connect the body earthing,Yes,,,Electric shock,감전/합선,감전,1.0,1.0
300.0,Hanmi,Rahul Mor,Module 1F,13.04.2026,DSHI,  Hot work (grinding) performed near the substation boundary with inadequate fire booth,Kindly make proper fire booth,Yes,,,Fire,화재/탄화,화재,1.0,1.0
301.0,Hanmi,Rahul Mor,Module 1F,13.04.2026,DSHI,  Grinding machine connection weren't removed  while not in active use,Kindly remove the connection when not in use,Yes,,,Impact,전도/낙하/부딪힘,충돌,1.0,1.0
302.0,Hanmi,Rahul Mor,Module 1F,13.04.2026,DSHI, Worker sitting directly on flexible  conduits (electrical piping) near the substation boundary.,Kindly train the worker not to sit on cable conduit,Yes,,,Electric shock,감전/합선,감전,1.0,1.0
303.0,Hanmi,Rahul Mor,Module 1F,13.04.2026,DSHI,Side support were not provided for beam structure,Kindly provide side support,Yes,,,Collapse,전도/낙하/부딪힘,붕괴,1.0,1.0
304.0,Hanmi,Rahul Mor,Module 1F,14.04.2026,DSHI," Body earthing wire without clamp/holder , not connected ",Kindly connect the earthing cable,No,,,Electric shock,감전/합선,감전,1.0,1.0
305.0,Hanmi,Rahul Mor,Module 1F,14.04.2026,DSHI,"1.  Display the gas cylinder tag 
2.  Use/provide  double chains protection instead of rope [ substandard  ]",Kindly do the compliance,Yes,,,Explosion,화재/탄화,폭발,1.0,1.0
306.0,Hanmi,Surender Kumar,Module 1F,14.04.2026,DSHI,Scissor lift without barricade/signalman in the access way ,Kindly check & provide,Yes,,,Impact,전도/낙하/부딪힘,충돌,1.0,1.0
307.0,Hanmi,Surender Kumar,Module 1F,14.04.2026,DSHI,spider crain  with out TPI,Kindly display the TPI certificate on spider crane,Yes,,,Others,기타,기타,1.0,1.0
308.0,Hanmi,Rahul Mor,Module 1F,14.04.2026,Hankuk,Scaffolding installation team without Scaffolding training ,"Kindly do training & provide training sticker
Check all team of scaffold  ",Yes,,,Others,기타,기타,1.0,1.0
309.0,Hanmi,Rahul Mor,Module 2F,14.04.2026,DSHI,"Risky position
Kindly guide your worker to avoid this type of suspended position at this much height",Use safe platform ,Yes,,,Falling,떨어짐/낙상,추락,0.4695,0.5448
310.0,Hanmi,Surender Kumar,Module GF,14.04.2026,Hankuk,Housekeeping not maintained near staircase area ,Kindly Do the housekeeping & Provide the safe access way for the staircase area,Yes,,,Others,기타,기타,1.0,1.0
311.0,Hanmi,Rahul Mor,Module 1F,14.04.2026,Hankuk,"Toe guard was not provided
Multilevel work was going on in unsafe manner",Kindly provide the toe guard & stop/avoid the multilevel work ,No,,,Dropping,떨어짐/낙상,추락,0.3134,0.3841
312.0,Hanmi,Rahul Mor,Module 1F,14.04.2026,Hankuk,Job specific PPE for concrete  pump operator was not provided & he was standing in unsafe manner,Kindly provide job specific PPE & training need for the opearator of concrete pump,No,,,Entrapment,끼임,협착,1.0,1.0
313.0,Hanmi,Rahul Mor,Module 1F,14.04.2026,DSHI,"There was no chain protection for the co2 gas cylinder,substandard PP rope was tied for the gas cylinder","Kindly provide double chain protection for all the gas cylinders , secure properly",No,,,Explosion,화재/탄화,폭발,1.0,1.0
314.0,Hanmi,Surender Kumar,Module GF,14.04.2026,Hankuk,Signalman for lifting area was not present during lifting/shifting work ,Kindly deploy signalman before starting lifting work especially in the access way (block the access during lifting/shifting),No,,,Impact,전도/낙하/부딪힘,충돌,1.0,1.0
315.0,Hanmi,Rahul Mor,Module 2F,14.04.2026,Hankuk,Worker was siiting on scaffolding without anchoring of safety harness,Kindly ensure anchoring of Safety harness for each & every person at scaffolding ASAP ,No,,,Falling,떨어짐/낙상,추락,0.5205,0.5332
316.0,Hanmi,Rahul Mor,Module GF,15.04.2026,DSHI,"
Housekeeping not maintained & overgrowth of weeds near the drain area near lifting area 
lifeline posts were scattered in haphazard manner","Need to Clear all weeds and overgrowth within the barricaded area and around the drain. 
Place all the posts in even manner properly",Yes,,,Others,기타,기타,1.0,1.0
317.0,Hanmi,Rahul Mor,Module 1F,15.04.2026,Hankuk,Electric cable was touching meatl scaffolding & cable was tied with binding wire,Kindly use insulated hanger for electric cable instead of binding wire,Yes,,,Electric shock,감전/합선,감전,1.0,1.0
