no,company,inspector,location,date,vendor,raw_content,corrective_action,is_completed,photo_before,photo_after,remarks,SDN_risk,Hanmi_risk,SDN_score,Hanmi_score
41.0,Hanmi,Rahul Mor,Module 2F,11.03.2026,Hankuk,"Railings is not available,  unsafe opening ","Close the opening area, provide railings ",Yes,WhatsApp Image 2026-03-11 at 9.46.38 AM,,Falling,전도/낙하/부딪힘,추락,0.4222,0.3605
42.0,Hanmi,Rahul Mor,Module 2F,11.03.2026,Hankuk,Instructed to install guard railings this area due to unsafe opening or unsafe working position,Kindly provide hard barricade,Yes,WhatsApp Image 2026-03-11 at 9.50.18 AM,,Falling,떨어짐/낙상,추락,0.3904,0.445
43.0,Hanmi,Rahul Mor,Module 1F,11.03.2026,DSHI,"according to safety standard , this is Unauthorized, non-OEM platform ( Self- fabricated at site by DSHI ) extension using ropes and untested steel. This creates a critical risk of structural failure, machine tip-over due to shifted center of gravity, and falls from height as the makeshift guardrails cannot support a person's weight.","Kindly use alternate safe option - Boom lift,mobile scaffolding etc.",Yes,WhatsApp Image 2026-03-11 at 1.37.46 PM,,Collapse,전도/낙하/부딪힘,붕괴,1.0,1.0
44.0,Hanmi,Surender Kumar,Module 1F,11.03.2026,Hankuk,Material scattered in access way,Kindly clean the access way & remove the materails,Yes,,,Falling,전도/낙하/부딪힘,낙하,0.5548,0.4857
45.0,Hanmi,Surender Kumar,Module 1F,11.03.2026,Hankuk,Material shifting box placed in uneven manner on woods,The placing of material shifting box should be evenly,Yes,,,Impact,전도/낙하/부딪힘,충돌,1.0,1.0
46.0,Hanmi,Surender Kumar,Module 1F,11.03.2026,Hankuk,"Unauthorized personnel were not removed from lifting work area, access was also blocked in uneven manner",Remove the unauthorised person from lifting work area & access should be there other than lifting work range area,Yes,,,Impact,전도/낙하/부딪힘,충돌,1.0,1.0
47.0,Hanmi,Rahul Mor,Module 1F,11.03.2026,DSHI,During deck sheets shifting work web sling tighten with sharp edges wire which may lead to damage of web sling ,Use shakle instead of sharp edges wire,Yes,,,Dropping,전도/낙하/부딪힘,낙하,0.3691,0.4226
48.0,Hanmi,Rahul Mor,Module 1F,11.03.2026,Hankuk,Incomplete scaffolding(No guard rail) with green tag ,Kindly provide red tag for theincomplete scaffolding,Yes,,,Falling,떨어짐/낙상,추락,0.5294,0.5242
49.0,Hanmi,Surender Kumar,Module 2F,11.03.2026,DSHI,Unsafe opening near edge area was not barricade or blocked,Need to provide temporary barricade for now & then hard barricade for all area ,Yes,WhatsApp Image 2026-03-11 at 3.35.19 PM,,Falling,전도/낙하/부딪힘,추락,0.4575,0.4284
50.0,Hanmi,Rahul Mor,Module 1F,11.03.2026,DSHI,"Scissor lift crossing over safety net, operating by standing over safety net ,It will decrease the strength & integrity of the safety net. The tires of the scissor lift create immense friction, which will effect the synthetic fibers of the net. ",Donot put any kind of heavy weight on safety net. Kindly retrain the team,Yes,WhatsApp Image 2026-03-11 at 3.41.50 PM,,Collapse,전도/낙하/부딪힘,붕괴,1.0,1.0
